SonnetID,octave_0,octave_1,octave_9,sestet_0,sestet_1,sestet_9,oct0_m_ses0,oct1_m_ses1,comment,
PoloDeMedina_20,1,6,1,3,3,,-2,3,,
Quevedo_310,2,5,1,4,2,,-2,3,,
TirsoDeMolina_24,1,6,1,3,3,,-2,3,,
s059g_0115,2,5,1,4,2,,-2,3,,
s152g_0296,3,4,1,5,1,,-2,3,,
s350g_0809,1,6,1,3,3,,-2,3,,
s422g_0916,1,6,1,3,3,,-2,3,,
AgustinDeSalazarYTorres_14,1,7,,2,4,,-1,3,,
AgustinDeSalazarYTorres_27,1,7,,2,4,,-1,3,,
AgustinDeSalazarYTorres_28,2,6,,3,3,,-1,3,,
AntonioEnriquezGomez_5,1,7,,2,4,,-1,3,,
AntonioHurtadoDeMendoza_1,2,6,,3,3,,-1,3,,
AntonioHurtadoDeMendoza_5,3,5,,4,2,,-1,3,,
ArgensolaBartolome_66,4,4,,5,1,,-1,3,,
ArgensolaLupercio_53,2,6,,3,3,,-1,3,,
BernardinoDeRebolledo_18,2,6,,3,3,,-1,3,,
BocangelYUnzueta_57,2,6,,3,3,,-1,3,,
BocangelYUnzueta_58,3,5,,4,2,,-1,3,,
CancerYVelasco_1,1,7,,2,4,,-1,3,,
Cervantes_20,2,6,,3,3,,-1,3,,
Cervantes_26,1,7,,2,4,,-1,3,,
Cervantes_55,2,6,,3,3,,-1,3,,
FcodeBorjaYAragonPrincipeEsquilache_9,2,6,,3,3,,-1,3,,
FcodeBorjaYAragonPrincipeEsquilache_99,2,6,,3,3,,-1,3,,
FernandoDeHerrera_102,1,7,,2,4,,-1,3,,
FernandoDeHerrera_112,2,6,,3,3,,-1,3,,
FernandoDeHerrera_164,2,6,,3,3,,-1,3,,
FernandoDeHerrera_174,1,7,,2,4,,-1,3,,
FernandoDeHerrera_199,1,7,,2,4,,-1,3,,
FernandoDeHerrera_201,3,5,,4,2,,-1,3,,
FernandoDeHerrera_217,3,5,,4,2,,-1,3,,
FernandoDeHerrera_287,2,6,,3,3,,-1,3,,
FernandoDeHerrera_40,4,4,,5,1,,-1,3,,
FernandoDeHerrera_45,3,5,,4,2,,-1,3,,
FernandoDeHerrera_79,3,5,,4,2,,-1,3,,
FernandoDeHerrera_80,3,5,,4,2,,-1,3,,
FranciscoDeAldana_13,1,7,,2,4,,-1,3,,
FranciscoDeAldana_40,1,7,,2,4,,-1,3,,
FranciscoDeLaTorre_62,2,6,,3,3,,-1,3,,
FranciscoDeMedrano_2,2,6,,3,3,,-1,3,,
FranciscoDeMedrano_33,2,6,,3,3,,-1,3,,
FranciscoDeMedrano_47,2,6,,3,3,,-1,3,,
FrayLuisDeLeon_3,3,5,,4,2,,-1,3,,
GregorioDeMatos_10,2,6,,3,3,,-1,3,,
GutierreDeCetina_115,3,5,,4,2,,-1,3,,
GutierreDeCetina_116,1,7,,2,4,,-1,3,,
GutierreDeCetina_180,1,7,,2,4,,-1,3,,
GutierreDeCetina_203,3,5,,4,2,,-1,3,,
GutierreDeCetina_217,2,6,,3,3,,-1,3,,
GutierreDeCetina_56,2,6,,3,3,,-1,3,,
GutierreDeCetina_86,2,6,,3,3,,-1,3,,
GutierreDeCetina_89,1,7,,2,4,,-1,3,,
HernandodeAcunya_3,2,6,,3,3,,-1,3,,
HernandodeAcunya_61,3,5,,4,2,,-1,3,,
HernandodeAcunya_63,2,6,,3,3,,-1,3,,
JosephDeLitalaYCastelvi_121,4,4,,5,1,,-1,3,,
JosephDeLitalaYCastelvi_123,3,5,,4,2,,-1,3,,
JosephDeLitalaYCastelvi_141,3,5,,4,2,,-1,3,,
JuanBoscan_48,1,7,,2,4,,-1,3,,
JuanBoscan_61,2,6,,3,3,,-1,3,,
JuanBoscan_65,1,7,,2,4,,-1,3,,
JuanBoscan_82,2,6,,3,3,,-1,3,,
JuanDeAlmeida_37,2,6,,3,3,,-1,3,,
JuanDeArguijo_6,3,5,,4,2,,-1,3,,
JuanDeTassisYPeralta_146,2,6,,3,3,,-1,3,,
JuanDeTassisYPeralta_152,4,4,,5,1,,-1,3,,
JuanDeTassisYPeralta_52,3,5,,4,2,,-1,3,,
JuanaInesDeLaCruz_24,2,6,,3,3,,-1,3,,
JuanaInesDeLaCruz_33,2,6,,3,3,,-1,3,,
JuanaInesDeLaCruz_59,1,7,,2,4,,-1,3,,
LopeDeVega_1014,3,5,,4,2,,-1,3,,
LopeDeVega_1018,1,7,,2,4,,-1,3,,
LopeDeVega_1034,2,6,,3,3,,-1,3,,
LopeDeVega_1173,2,6,,3,3,,-1,3,,
LopeDeVega_1181,2,6,,3,3,,-1,3,,
LopeDeVega_1182,1,7,,2,4,,-1,3,,
LopeDeVega_1196,1,7,,2,4,,-1,3,,
LopeDeVega_1202,1,7,,2,4,,-1,3,,
LopeDeVega_1241,3,5,,4,2,,-1,3,,
LopeDeVega_1269,1,7,,2,4,,-1,3,,
LopeDeVega_1308,1,7,,2,4,,-1,3,,
LopeDeVega_143,4,4,,5,1,,-1,3,,
LopeDeVega_208,1,7,,2,4,,-1,3,,
LopeDeVega_212,1,7,,2,4,,-1,3,,
LopeDeVega_240,1,7,,2,4,,-1,3,,
LopeDeVega_25,2,6,,3,3,,-1,3,,
LopeDeVega_340,1,7,,2,4,,-1,3,,
LopeDeVega_379,3,5,,4,2,,-1,3,,
LopeDeVega_520,2,6,,3,3,,-1,3,,
LopeDeVega_53,1,7,,2,4,,-1,3,,
LopeDeVega_579,2,6,,3,3,,-1,3,,
LopeDeVega_618,2,6,,3,3,,-1,3,,
LopeDeVega_687,2,6,,3,3,,-1,3,,
LopeDeVega_691,1,7,,2,4,,-1,3,,
LopeDeVega_784,2,6,,3,3,,-1,3,,
LopeDeVega_8,2,6,,3,3,,-1,3,,
LopeDeVega_821,2,6,,3,3,,-1,3,,
LopeDeVega_833,1,7,,2,4,,-1,3,,
LopeDeVega_844,2,6,,3,3,,-1,3,,
LopeDeVega_913,4,4,,5,1,,-1,3,,
LopeDeVega_950,1,7,,2,4,,-1,3,,
LopeDeVega_969,1,7,,2,4,,-1,3,,
LopeDeZarate_3,1,7,,2,4,,-1,3,,
LopeDeZarate_58,4,4,,5,1,,-1,3,,
LuisCarrilloySotomayor_30,2,6,,3,3,,-1,3,,
LuisDeUlloaYPereira_82,2,6,,3,3,,-1,3,,
MiraDeAmescua_8,2,6,,3,3,,-1,3,,
PedroSotoDeRojas_69,2,6,,3,3,,-1,3,,
PedroSotoDeRojas_78,2,6,,3,3,,-1,3,,
PedroSotoDeRojas_91,4,4,,5,1,,-1,3,,
PoloDeMedina_3,3,5,,4,2,,-1,3,,
Quevedo_140,2,6,,3,3,,-1,3,,
Quevedo_16,1,7,,2,4,,-1,3,,
Quevedo_161,2,6,,3,3,,-1,3,,
Quevedo_303,2,6,,3,3,,-1,3,,
Quevedo_317,2,6,,3,3,,-1,3,,
Quevedo_359,4,4,,5,1,,-1,3,,
Quevedo_39,3,5,,4,2,,-1,3,,
Quevedo_469,3,5,,4,2,,-1,3,,
TirsoDeMolina_35,2,6,,3,3,,-1,3,,
TirsoDeMolina_39,3,5,,4,2,,-1,3,,
TrilloYFigueroa_4,3,5,,4,2,,-1,3,,
s048g_0099,2,6,,3,3,,-1,3,,
s056g_0110,1,7,,2,4,,-1,3,,
s065g_0125,2,6,,3,3,,-1,3,,
s105g_0206,2,6,,3,3,,-1,3,,
s122g_0248,2,6,,3,3,,-1,3,,
s167g_0331,1,7,,2,4,,-1,3,,
s200g_0418,3,5,,4,2,,-1,3,,
s244g_0510_05,1,7,,2,4,,-1,3,,
s295g_0615,2,6,,3,3,,-1,3,,
s310g_0638,1,7,,2,4,,-1,3,,
s322g_0746,1,7,,2,4,,-1,3,,
s373g_0842,1,7,,2,4,,-1,3,,
s421g_0915,1,7,,2,4,,-1,3,,
s426g_0921,1,7,,2,4,,-1,3,,
s427g_0923,1,7,,2,4,,-1,3,,
s430g_0934,3,5,,4,2,,-1,3,,
s432g_0937,1,7,,2,4,,-1,3,,
s454g_0969,1,7,,2,4,,-1,3,,
AgustinDeSalazarYTorres_9,1,5,2,3,3,,-2,2,,
ArgensolaBartolome_111,1,5,2,3,3,,-2,2,,
ArgensolaLupercio_19,1,5,2,3,3,,-2,2,,
ArgensolaLupercio_21,3,3,2,5,1,,-2,2,,
Cervantes_74,1,5,2,3,3,,-2,2,,
FcodeBorjaYAragonPrincipeEsquilache_102,1,5,2,3,3,,-2,2,,
FcodeBorjaYAragonPrincipeEsquilache_78,1,5,2,3,3,,-2,2,,
FernandoDeHerrera_179,3,3,2,5,1,,-2,2,,
FernandoDeHerrera_78,1,5,2,3,3,,-2,2,,
FranciscoDeLaTorre_56,2,4,2,4,2,,-2,2,,
Gongora_102,2,4,2,4,2,,-2,2,,
GutierreDeCetina_101,2,4,2,4,2,,-2,2,,
GutierreDeCetina_36,1,5,1,3,3,,-2,2,,
GutierreDeCetina_44,1,5,2,3,3,,-2,2,,
HernandodeAcunya_75,2,4,2,4,2,,-2,2,,
JosephDeLitalaYCastelvi_38,1,5,1,3,3,,-2,2,,
JuanDeAlmeida_26,2,4,2,4,2,,-2,2,,
JuanDeArguijo_25,1,5,2,3,3,,-2,2,,
JuanDeArguijo_66,1,5,2,3,3,,-2,2,,
JuanDeTassisYPeralta_156,2,4,2,4,2,,-2,2,,
LopeDeVega_1052,1,5,2,3,3,,-2,2,,
LopeDeVega_1218,1,5,1,3,3,,-2,2,,
LopeDeVega_1256,2,4,2,4,2,,-2,2,,
LopeDeVega_166,1,5,2,3,3,,-2,2,,
LopeDeVega_181,3,3,2,5,1,,-2,2,,
LopeDeVega_204,2,4,2,4,2,,-2,2,,
LopeDeVega_226,3,3,2,5,1,,-2,2,,
LopeDeVega_491,1,5,2,3,3,,-2,2,,
LopeDeVega_636,1,5,2,3,3,,-2,2,,
LopeDeVega_741,1,5,2,3,3,,-2,2,,
LuisDeUlloaYPereira_45,3,3,2,5,1,,-2,2,,
LuisDeUlloaYPereira_51,1,5,2,3,3,,-2,2,,
LuisMartinDeLaPlaza_12,2,4,2,4,2,,-2,2,,
PedroDePadilla_21,1,5,2,3,3,,-2,2,,
PedroSotoDeRojas_46,2,4,2,4,2,,-2,2,,
Quevedo_25,1,5,2,3,3,,-2,2,,
Quevedo_285,1,5,2,3,3,,-2,2,,
Quevedo_302,2,4,2,4,2,,-2,2,,
Quevedo_52,1,5,1,3,3,,-2,2,,
s003g_0011,1,5,2,3,3,,-2,2,,
s113g_0224,1,5,2,3,3,,-2,2,,
s145g_0283,2,4,2,4,2,,-2,2,,
s153g_0297,1,5,2,3,3,,-2,2,,
AntonioEnriquezGomez_39,2,5,1,3,3,,-1,2,,
AntonioEnriquezGomez_8,2,5,1,3,3,,-1,2,,
ArgensolaBartolome_130,2,5,1,3,3,,-1,2,,
ArgensolaBartolome_6,1,6,1,2,4,,-1,2,,
ArgensolaBartolome_7,2,5,1,3,3,,-1,2,,
ArgensolaLupercio_18,3,4,1,4,2,,-1,2,,
ArgensolaLupercio_26,1,6,1,2,4,,-1,2,,
ArgensolaLupercio_39,2,5,,3,3,,-1,2,,
BernardinoDeRebolledo_17,2,5,1,3,3,,-1,2,,
FcodeBorjaYAragonPrincipeEsquilache_137,3,4,1,4,2,,-1,2,,
FcodeBorjaYAragonPrincipeEsquilache_14,3,4,1,4,2,,-1,2,,
FcodeBorjaYAragonPrincipeEsquilache_55,1,6,1,2,4,,-1,2,,
FcodeBorjaYAragonPrincipeEsquilache_69,1,6,1,2,4,,-1,2,,
FcodeBorjaYAragonPrincipeEsquilache_94,2,5,1,3,3,,-1,2,,
FernandoDeHerrera_156,3,4,1,4,2,,-1,2,,
FernandoDeHerrera_175,2,5,1,3,3,,-1,2,,
FernandoDeHerrera_189,1,6,1,2,4,,-1,2,,
FernandoDeHerrera_244,1,6,1,2,4,,-1,2,,
FernandoDeHerrera_258,2,5,1,3,3,,-1,2,,
FernandoDeHerrera_306,2,5,1,3,3,,-1,2,,
FranciscoDeAldana_23,1,6,1,2,4,,-1,2,,
FranciscoDeLaTorre_14,1,6,1,2,4,,-1,2,,
FranciscoDeLaTorre_36,2,5,1,3,3,,-1,2,,
FranciscoDeLaTorre_4,2,5,1,3,3,,-1,2,,
FranciscoDeLaTorre_48,3,4,1,4,2,,-1,2,,
FranciscoDeMedrano_30,2,5,1,3,3,,-1,2,,
FranciscoDeMedrano_39,3,4,1,4,2,,-1,2,,
FrayLuisDeLeon_4,3,4,1,4,2,,-1,2,,
Gongora_57,2,5,1,3,3,,-1,2,,
Gongora_66,2,5,1,3,3,2,-1,2,,
Gongora_99,1,6,1,2,4,,-1,2,,
GregorioDeMatos_2,3,4,1,4,2,,-1,2,,
GutierreDeCetina_124,3,4,1,4,2,,-1,2,,
GutierreDeCetina_189,1,6,1,2,4,,-1,2,,
GutierreDeCetina_2,1,6,1,2,4,,-1,2,,
GutierreDeCetina_200,2,5,1,3,3,,-1,2,,
GutierreDeCetina_22,2,5,1,3,3,,-1,2,,
GutierreDeCetina_49,1,6,1,2,4,,-1,2,,
JosephDeLitalaYCastelvi_12,2,5,1,3,3,,-1,2,,
JosephDeLitalaYCastelvi_15,3,4,1,4,2,,-1,2,,
JuanBoscan_16,1,6,1,2,4,,-1,2,,
JuanBoscan_30,1,6,1,2,4,,-1,2,,
JuanBoscan_45,2,5,1,3,3,,-1,2,,
JuanBoscan_58,1,6,1,2,4,,-1,2,,
JuanDeArguijo_16,2,5,1,3,3,,-1,2,,
JuanDeArguijo_22,1,6,1,2,4,,-1,2,,
JuanDeArguijo_28,1,6,1,2,4,,-1,2,,
JuanDeArguijo_49,1,6,1,2,4,,-1,2,,
JuanDeArguijo_51,2,5,1,3,3,,-1,2,,
JuanDeTassisYPeralta_151,3,4,1,4,2,,-1,2,,
JuanDeTassisYPeralta_160,1,6,1,2,4,,-1,2,,
JuanDeTassisYPeralta_167,2,5,1,3,3,,-1,2,,
JuanDeTassisYPeralta_191,2,5,1,3,3,,-1,2,,
JuanDeTassisYPeralta_203,2,5,1,3,3,,-1,2,,
JuanDeTassisYPeralta_61,2,5,1,3,3,,-1,2,,
JuanDeTimoneda_21,1,6,1,2,4,,-1,2,,
JuanDeTimoneda_9,2,5,1,3,3,,-1,2,,
JuanaInesDeLaCruz_46,1,6,1,2,4,,-1,2,,
JuanaInesDeLaCruz_57,1,6,1,2,4,,-1,2,,
LopeDeVega_1030,1,6,1,2,4,,-1,2,,
LopeDeVega_1099,1,6,1,2,4,,-1,2,,
LopeDeVega_1130,2,5,1,3,3,,-1,2,,
LopeDeVega_1175,1,6,1,2,4,,-1,2,,
LopeDeVega_1197,3,4,1,4,2,,-1,2,,
LopeDeVega_1292,2,5,1,3,3,,-1,2,,
LopeDeVega_1309,2,5,1,3,3,,-1,2,,
LopeDeVega_1310,3,4,1,4,2,,-1,2,,
LopeDeVega_1320,1,6,1,2,4,,-1,2,,
LopeDeVega_1334,4,3,1,5,1,,-1,2,,
LopeDeVega_1339,3,4,1,4,2,,-1,2,,
LopeDeVega_168,2,5,1,3,3,,-1,2,,
LopeDeVega_205,2,5,1,3,3,,-1,2,,
LopeDeVega_249,2,5,1,3,3,,-1,2,,
LopeDeVega_310,1,6,1,2,4,,-1,2,,
LopeDeVega_373,2,5,1,3,3,,-1,2,,
LopeDeVega_414,3,4,1,4,2,,-1,2,,
LopeDeVega_43,2,5,1,3,3,,-1,2,,
LopeDeVega_515,1,6,1,2,4,,-1,2,,
LopeDeVega_536,1,6,1,2,4,,-1,2,,
LopeDeVega_54,2,5,1,3,3,,-1,2,,
LopeDeVega_545,1,6,1,2,4,,-1,2,,
LopeDeVega_570,2,5,1,3,3,,-1,2,,
LopeDeVega_581,1,6,1,2,4,,-1,2,,
LopeDeVega_616,1,6,1,2,4,,-1,2,,
LopeDeVega_684,1,6,1,2,4,,-1,2,,
LopeDeVega_719,1,6,1,2,4,,-1,2,,
LopeDeVega_724,2,5,,3,3,,-1,2,,
LopeDeVega_749,2,5,,3,3,,-1,2,,
LopeDeVega_802,3,4,1,4,2,,-1,2,,
LopeDeVega_817,2,5,1,3,3,,-1,2,,
LopeDeVega_93,2,5,1,3,3,,-1,2,,
LopeDeVega_963,2,5,1,3,3,,-1,2,,
LuisCarrilloySotomayor_11,2,5,1,3,3,,-1,2,,
LuisCarrilloySotomayor_38,2,5,1,3,3,,-1,2,,
LuisCarrilloySotomayor_43,1,6,1,2,4,,-1,2,,
LuisDeUlloaYPereira_53,3,4,1,4,2,,-1,2,,
MiraDeAmescua_10,3,4,1,4,2,,-1,2,,
MiraDeAmescua_15,1,6,1,2,4,,-1,2,,
PedroEspinosa_16,2,5,1,3,3,,-1,2,,
PedroSotoDeRojas_123,3,4,1,4,2,,-1,2,,
PedroSotoDeRojas_74,1,6,1,2,4,,-1,2,,
PedroSotoDeRojas_97,1,6,1,2,4,,-1,2,,
Quevedo_17,3,4,1,4,2,,-1,2,,
Quevedo_262,2,5,1,3,3,,-1,2,,
Quevedo_289,3,4,1,4,2,,-1,2,,
Quevedo_356,1,6,1,2,4,,-1,2,,
Quevedo_383,3,4,1,4,2,,-1,2,,
Quevedo_414,1,6,1,2,4,,-1,2,,
Quevedo_428,1,6,1,2,4,,-1,2,,
Quevedo_467,2,5,1,3,3,,-1,2,,
Quevedo_484,2,5,1,3,3,,-1,2,,
