sID	_m	o0	o1	o9	s0	s1	s9	oa0	oa1	sa0	sa1	oms1	oms0	oms10	oms01	o1s1mo0s0	ov	sv	oa	sa	omsv	omsa
AntonioEnriquezGomez_35	both	2.0	6.0		1.0	5.0			8.0		6.0	1.0	1.0	5.0	-3.0	8.0	0.6401	0.7022	0.4787	0.4228	-0.062	0.0559
AntonioEnriquezGomez_36	both	4.0	4.0		2.0	2.0	2.0		8.0	2.0	4.0	2.0	2.0	2.0	2.0	0.0	0.4861	0.414	0.6819	0.666	0.0721	0.016
AntonioEnriquezGomez_37	both	1.0	5.0	2.0	1.0	3.0	2.0	3.0	5.0	2.0	4.0	2.0	0.0	4.0	-2.0	6.0	0.5973	0.6465	0.4965	0.4957	-0.0492	0.0008
AntonioEnriquezGomez_38	both	1.0	7.0		1.0	2.0	3.0		8.0	3.0	3.0	5.0	0.0	6.0	-1.0	7.0	0.6326	0.569	0.5434	0.6917	0.0636	-0.1483
AntonioEnriquezGomez_39	both	2.0	5.0	1.0	3.0	3.0		1.0	7.0		6.0	2.0	-1.0	2.0	-1.0	3.0	0.6029	0.4671	0.5356	0.6199	0.1358	-0.0843
AntonioEnriquezGomez_40	both	3.0	5.0		3.0	3.0			8.0		6.0	2.0	0.0	2.0	0.0	2.0	0.4981	0.4577	0.5895	0.5638	0.0403	0.0257
AntonioEnriquezGomez_5	both	1.0	7.0		2.0	4.0			8.0		6.0	3.0	-1.0	5.0	-3.0	8.0	0.6413	0.5403	0.5102	0.6934	0.101	-0.1831
AntonioEnriquezGomez_6	both	2.0	6.0		2.0	4.0			8.0		6.0	2.0	0.0	4.0	-2.0	6.0	0.5245	0.5548	0.5307	0.5142	-0.0303	0.0165
AntonioEnriquezGomez_7	both	3.0	4.0	1.0	1.0	4.0	1.0	1.0	7.0	1.0	5.0	0.0	2.0	3.0	-1.0	4.0	0.5014	0.6454	0.7281	0.5745	-0.144	0.1536
AntonioEnriquezGomez_8	both	2.0	5.0	1.0	3.0	3.0		1.0	7.0		6.0	2.0	-1.0	2.0	-1.0	3.0	0.583	0.4408	0.5398	0.6378	0.1422	-0.0981
AntonioEnriquezGomez_9	both	3.0	4.0	1.0	1.0	5.0		1.0	7.0		6.0	-1.0	2.0	3.0	-2.0	5.0	0.4859	0.6236	0.5981	0.5651	-0.1376	0.033
AntonioHurtadoDeMendoza_1	both	2.0	6.0		3.0	3.0			8.0		6.0	3.0	-1.0	3.0	-1.0	4.0	0.5189	0.5113	0.5701	0.7033	0.0077	-0.1332
AntonioHurtadoDeMendoza_10	both	1.0	6.0		5.0	1.0			7.0		6.0	5.0	-4.0	1.0	0.0	1.0	0.6557	0.3219	0.5075	0.7674	0.3338	-0.2598
AntonioHurtadoDeMendoza_11	both	2.0	5.0	1.0	1.0	5.0		1.0	7.0	1.0	5.0	0.0	1.0	4.0	-3.0	7.0	0.5259	0.6833	0.5005	0.5405	-0.1573	-0.04
AntonioHurtadoDeMendoza_12	both	5.0	2.0	1.0	2.0	3.0	1.0	2.0	6.0	1.0	5.0	-1.0	3.0	0.0	2.0	-2.0	0.4261	0.4474	0.6854	0.6383	-0.0213	0.0471
AntonioHurtadoDeMendoza_13	both	3.0	3.0	2.0	2.0	4.0		2.0	6.0		6.0	-1.0	1.0	1.0	-1.0	2.0	0.5079	0.5428	0.4308	0.6054	-0.0349	-0.1746
AntonioHurtadoDeMendoza_2	both	3.0	5.0		1.0	5.0		1.0	7.0		6.0	0.0	2.0	4.0	-2.0	6.0	0.4603	0.5739	0.6333	0.5988	-0.1136	0.0345
AntonioHurtadoDeMendoza_3	both	4.0	3.0	1.0	2.0	3.0	1.0	1.0	7.0	1.0	5.0	0.0	2.0	1.0	1.0	0.0	0.4737	0.4573	0.5976	0.6199	0.0164	-0.0223
AntonioHurtadoDeMendoza_4	both	3.0	2.0	3.0	2.0	4.0		3.0	5.0		6.0	-2.0	1.0	0.0	-1.0	1.0	0.4528	0.5866	0.6206	0.5475	-0.1339	0.0731
AntonioHurtadoDeMendoza_5	both	3.0	5.0		4.0	2.0			8.0	1.0	5.0	3.0	-1.0	1.0	1.0	0.0	0.6144	0.3897	0.5694	0.5926	0.2248	-0.0233
AntonioHurtadoDeMendoza_6	both	3.0	3.0	2.0	1.0	4.0	1.0	2.0	6.0	1.0	5.0	-1.0	2.0	2.0	-1.0	3.0	0.5191	0.613	0.6563	0.5401	-0.0939	0.1161
AntonioHurtadoDeMendoza_7	both	3.0	3.0	1.0	2.0	4.0		2.0	5.0		6.0	-1.0	1.0	1.0	-1.0	2.0	0.5007	0.5902	0.6943	0.5553	-0.0895	0.139
AntonioHurtadoDeMendoza_8	both	2.0	5.0	1.0	3.0	2.0	1.0	2.0	6.0	1.0	5.0	3.0	-1.0	2.0	0.0	2.0	0.6141	0.4776	0.5311	0.6421	0.1365	-0.1109
AntonioHurtadoDeMendoza_9	both	3.0	4.0	1.0	5.0	1.0		1.0	7.0		6.0	3.0	-2.0	-1.0	2.0	-3.0	0.5347	0.3185	0.6534	0.6785	0.2162	-0.0251
ArgensolaBartolome_10	both	1.0	5.0	2.0	3.0	2.0	1.0	2.0	6.0	1.0	5.0	3.0	-2.0	2.0	-1.0	3.0	0.6662	0.48	0.5066	0.5872	0.1862	-0.0806
ArgensolaBartolome_101	both	5.0	2.0	1.0	3.0	3.0		1.0	7.0	1.0	5.0	-1.0	2.0	-1.0	2.0	-3.0	0.4096	0.5425	0.6908	0.4087	-0.1328	0.2821
ArgensolaBartolome_102	both	3.0	5.0		2.0	4.0			8.0		6.0	1.0	1.0	3.0	-1.0	4.0	0.4984	0.566	0.5018	0.4891	-0.0676	0.0126
ArgensolaBartolome_104	both	3.0	4.0	1.0	1.0	4.0	1.0	1.0	7.0	1.0	5.0	0.0	2.0	3.0	-1.0	4.0	0.5441	0.5872	0.49	0.5077	-0.0431	-0.0178
ArgensolaBartolome_105	both	2.0	5.0	1.0	2.0	4.0		1.0	7.0		6.0	1.0	0.0	3.0	-2.0	5.0	0.5794	0.5953	0.5761	0.5662	-0.0159	0.0099
ArgensolaBartolome_107	both	3.0	4.0	1.0	1.0	5.0		2.0	6.0		6.0	-1.0	2.0	3.0	-2.0	5.0	0.5661	0.6837	0.5118	0.578	-0.1176	-0.0662
ArgensolaBartolome_108	both	3.0	5.0		2.0	2.0	2.0		8.0	3.0	3.0	3.0	1.0	3.0	1.0	2.0	0.4803	0.5221	0.5963	0.591	-0.0418	0.0053
ArgensolaBartolome_109	both	5.0	3.0		1.0	3.0	2.0	1.0	7.0	2.0	4.0	0.0	4.0	2.0	2.0	0.0	0.4698	0.5828	0.524	0.5684	-0.113	-0.0444
ArgensolaBartolome_110	both	4.0	4.0		2.0	2.0	2.0		8.0	2.0	4.0	2.0	2.0	2.0	2.0	0.0	0.5024	0.3822	0.6229	0.695	0.1202	-0.0722
ArgensolaBartolome_111	both	1.0	5.0	2.0	3.0	3.0		2.0	6.0		6.0	2.0	-2.0	2.0	-2.0	4.0	0.5949	0.5268	0.4709	0.5624	0.0682	-0.0915
ArgensolaBartolome_112	both	3.0	3.0	2.0	1.0	5.0		2.0	6.0		6.0	-2.0	2.0	2.0	-2.0	4.0	0.4982	0.6231	0.5052	0.5974	-0.1249	-0.0922
ArgensolaBartolome_113	both	3.0	3.0	2.0	3.0	3.0		2.0	6.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.5414	0.4945	0.5109	0.4142	0.0469	0.0967
ArgensolaBartolome_114	both	4.0	4.0		2.0	4.0			8.0		6.0	0.0	2.0	2.0	0.0	2.0	0.4722	0.5535	0.6244	0.5054	-0.0813	0.1189
ArgensolaBartolome_116	both	1.0	3.0	4.0	3.0	3.0		4.0	4.0		6.0	0.0	-2.0	0.0	-2.0	2.0	0.6099	0.4301	0.5826	0.6593	0.1797	-0.0767
ArgensolaBartolome_119	both	2.0	6.0		1.0	2.0	3.0		8.0	4.0	2.0	4.0	1.0	5.0	0.0	5.0	0.6272	0.4476	0.5624	0.578	0.1796	-0.0156
ArgensolaBartolome_12	both	4.0	4.0		2.0	4.0			8.0		6.0	0.0	2.0	2.0	0.0	2.0	0.5755	0.4926	0.6412	0.7069	0.0829	-0.0656
ArgensolaBartolome_120	both	1.0	6.0	1.0	3.0	3.0		1.0	7.0		6.0	3.0	-2.0	3.0	-2.0	5.0	0.618	0.4688	0.4144	0.6052	0.1492	-0.1908
ArgensolaBartolome_122	both	3.0	5.0		2.0	3.0	1.0		8.0	2.0	4.0	2.0	1.0	3.0	0.0	3.0	0.5338	0.6157	0.5194	0.5391	-0.0818	-0.0197
ArgensolaBartolome_123	both	2.0	5.0	1.0	4.0	2.0		1.0	7.0		6.0	3.0	-2.0	1.0	0.0	1.0	0.5781	0.379	0.5003	0.5761	0.1991	-0.0758
ArgensolaBartolome_124	both	3.0	2.0	2.0	4.0	2.0		2.0	5.0		6.0	0.0	-1.0	-2.0	1.0	-3.0	0.465	0.4168	0.5135	0.6631	0.0482	-0.1496
ArgensolaBartolome_125	both	4.0	3.0	1.0	2.0	2.0	2.0	2.0	6.0	2.0	4.0	1.0	2.0	1.0	2.0	-1.0	0.4331	0.4946	0.5495	0.689	-0.0615	-0.1395
ArgensolaBartolome_126	both	2.0	5.0	1.0	4.0	2.0		1.0	7.0		6.0	3.0	-2.0	1.0	0.0	1.0	0.4941	0.4656	0.649	0.5956	0.0285	0.0534
ArgensolaBartolome_129	both	1.0	6.0	1.0	1.0	1.0	4.0	1.0	7.0	4.0	2.0	5.0	0.0	5.0	0.0	5.0	0.5641	0.5401	0.5603	0.461	0.024	0.0993
ArgensolaBartolome_13	both	2.0	6.0		1.0	4.0	1.0		8.0	1.0	5.0	2.0	1.0	5.0	-2.0	7.0	0.5425	0.639	0.4567	0.478	-0.0965	-0.0213
ArgensolaBartolome_130	both	2.0	5.0	1.0	3.0	3.0		1.0	7.0		6.0	2.0	-1.0	2.0	-1.0	3.0	0.5912	0.5202	0.5381	0.4529	0.071	0.0852
ArgensolaBartolome_131	both	2.0	5.0	1.0	2.0	3.0	1.0	1.0	7.0	1.0	5.0	2.0	0.0	3.0	-1.0	4.0	0.552	0.4726	0.613	0.6397	0.0793	-0.0267
ArgensolaBartolome_132	both	2.0	6.0		1.0	5.0			8.0	1.0	5.0	1.0	1.0	5.0	-3.0	8.0	0.5685	0.6698	0.5213	0.5157	-0.1014	0.0055
ArgensolaBartolome_133	both	3.0	3.0	2.0	3.0	2.0	1.0	2.0	6.0	1.0	5.0	1.0	0.0	0.0	1.0	-1.0	0.4698	0.4365	0.5875	0.6045	0.0333	-0.017
ArgensolaBartolome_134	both	1.0	6.0	1.0	2.0	3.0	1.0	1.0	7.0	1.0	5.0	3.0	-1.0	4.0	-2.0	6.0	0.6034	0.5108	0.4221	0.5952	0.0926	-0.1731
ArgensolaBartolome_135	both	3.0	4.0	1.0	3.0	2.0	1.0	1.0	7.0	1.0	5.0	2.0	0.0	1.0	1.0	0.0	0.4071	0.4948	0.5629	0.604	-0.0877	-0.0411
ArgensolaBartolome_136	both	1.0	6.0	1.0	2.0	3.0	1.0	1.0	7.0	1.0	5.0	3.0	-1.0	4.0	-2.0	6.0	0.6262	0.6102	0.4961	0.5887	0.016	-0.0925
ArgensolaBartolome_137	both	2.0	4.0	2.0	1.0	5.0		2.0	6.0		6.0	-1.0	1.0	3.0	-3.0	6.0	0.638	0.6651	0.4468	0.5781	-0.0271	-0.1313
ArgensolaBartolome_138	both	4.0	3.0	1.0	1.0	5.0		1.0	7.0		6.0	-2.0	3.0	2.0	-1.0	3.0	0.4484	0.6153	0.551	0.6099	-0.1669	-0.059
ArgensolaBartolome_139	both	2.0	4.0	2.0	2.0	3.0	1.0	2.0	6.0	1.0	5.0	1.0	0.0	2.0	-1.0	3.0	0.5678	0.588	0.5725	0.4542	-0.0202	0.1184
ArgensolaBartolome_140	both	1.0	5.0	2.0	1.0	5.0		2.0	6.0		6.0	0.0	0.0	4.0	-4.0	8.0	0.628	0.6728	0.4031	0.4688	-0.0448	-0.0657
ArgensolaBartolome_141	both	2.0	5.0	1.0	1.0	3.0	2.0	2.0	6.0	2.0	4.0	2.0	1.0	4.0	-1.0	5.0	0.5635	0.6003	0.6109	0.4326	-0.0368	0.1783
ArgensolaBartolome_143	both	3.0	4.0	1.0	2.0	4.0		1.0	7.0		6.0	0.0	1.0	2.0	-1.0	3.0	0.521	0.6386	0.6294	0.4894	-0.1176	0.14
ArgensolaBartolome_144	both	2.0	6.0		2.0	4.0		1.0	7.0		6.0	2.0	0.0	4.0	-2.0	6.0	0.6082	0.5851	0.5431	0.5362	0.023	0.0069
ArgensolaBartolome_145	both	1.0	4.0	3.0	1.0	4.0	1.0	3.0	5.0	1.0	5.0	0.0	0.0	3.0	-3.0	6.0	0.6555	0.6038	0.522	0.6014	0.0517	-0.0794
ArgensolaBartolome_146	both	2.0	5.0	1.0	4.0	2.0		1.0	7.0		6.0	3.0	-2.0	1.0	0.0	1.0	0.5305	0.4673	0.6531	0.5837	0.0632	0.0694
ArgensolaBartolome_148	both	3.0	4.0	1.0	3.0	3.0		1.0	7.0		6.0	1.0	0.0	1.0	0.0	1.0	0.4622	0.4947	0.5955	0.6253	-0.0325	-0.0298
ArgensolaBartolome_149	both	2.0	4.0	2.0	3.0	2.0	1.0	2.0	6.0	1.0	5.0	2.0	-1.0	1.0	0.0	1.0	0.4803	0.4968	0.5898	0.5376	-0.0166	0.0522
ArgensolaBartolome_15	both	3.0	4.0	1.0	1.0	4.0	1.0	1.0	7.0	1.0	5.0	0.0	2.0	3.0	-1.0	4.0	0.5801	0.6346	0.4875	0.4879	-0.0546	-0.0004
ArgensolaBartolome_150	both	1.0	3.0	4.0	2.0	4.0		4.0	4.0		6.0	-1.0	-1.0	1.0	-3.0	4.0	0.555	0.5947	0.6318	0.6227	-0.0397	0.0091
ArgensolaBartolome_152	both	1.0	5.0	2.0	2.0	3.0	1.0	2.0	6.0	1.0	5.0	2.0	-1.0	3.0	-2.0	5.0	0.6762	0.5116	0.6241	0.6306	0.1646	-0.0065
ArgensolaBartolome_154	both	3.0	5.0		1.0	4.0	1.0	2.0	6.0	1.0	5.0	1.0	2.0	4.0	-1.0	5.0	0.5248	0.6029	0.4764	0.4464	-0.0781	0.0299
ArgensolaBartolome_155	both	6.0	1.0	1.0	1.0	4.0	1.0	1.0	7.0	2.0	4.0	-3.0	5.0	0.0	2.0	-2.0	0.4225	0.6521	0.5232	0.6021	-0.2295	-0.079
ArgensolaBartolome_156	both	1.0	3.0	4.0	3.0	2.0	1.0	4.0	4.0	1.0	5.0	1.0	-2.0	0.0	-1.0	1.0	0.5947	0.4734	0.4954	0.5433	0.1213	-0.0479
ArgensolaBartolome_16	both	1.0	5.0		1.0	5.0			6.0		6.0	0.0	0.0	4.0	-4.0	8.0	0.586	0.7412	0.4551	0.435	-0.1552	0.0201
ArgensolaBartolome_17	both	3.0	5.0		3.0	2.0	1.0		8.0	2.0	4.0	3.0	0.0	2.0	1.0	1.0	0.5535	0.4286	0.6685	0.6632	0.1249	0.0053
ArgensolaBartolome_18	both	1.0	7.0		2.0	3.0	1.0		8.0	1.0	5.0	4.0	-1.0	5.0	-2.0	7.0	0.6666	0.4909	0.5966	0.5195	0.1756	0.0771
ArgensolaBartolome_2	both	4.0	3.0	1.0	3.0	2.0	1.0	1.0	7.0	1.0	5.0	1.0	1.0	0.0	2.0	-2.0	0.4662	0.5057	0.5733	0.4965	-0.0395	0.0768
ArgensolaBartolome_20	both	2.0	5.0	1.0	2.0	4.0		2.0	6.0		6.0	1.0	0.0	3.0	-2.0	5.0	0.4982	0.5488	0.5504	0.6558	-0.0506	-0.1054
ArgensolaBartolome_21	both	3.0	5.0		3.0	3.0			8.0		6.0	2.0	0.0	2.0	0.0	2.0	0.5196	0.5297	0.6383	0.5038	-0.0101	0.1345
ArgensolaBartolome_22	both	1.0	7.0		1.0	4.0	1.0		8.0	1.0	5.0	3.0	0.0	6.0	-3.0	9.0	0.6756	0.5962	0.6637	0.4993	0.0795	0.1644
ArgensolaBartolome_23	both	1.0	7.0		2.0	2.0	2.0		8.0	2.0	4.0	5.0	-1.0	5.0	-1.0	6.0	0.6449	0.5615	0.5574	0.5887	0.0835	-0.0312
ArgensolaBartolome_24	both	2.0	6.0		1.0	4.0	1.0		8.0	2.0	4.0	2.0	1.0	5.0	-2.0	7.0	0.5462	0.6529	0.5913	0.5426	-0.1067	0.0488
ArgensolaBartolome_25	both	3.0	5.0		2.0	2.0	2.0		8.0	2.0	4.0	3.0	1.0	3.0	1.0	2.0	0.5502	0.6305	0.5729	0.4778	-0.0803	0.0951
ArgensolaBartolome_28	both	3.0	3.0	2.0	3.0	3.0		2.0	6.0		6.0	0.0	0.0	0.0	0.0	0.0	0.4497	0.43	0.6489	0.5266	0.0197	0.1224
ArgensolaBartolome_29	both	2.0	6.0		1.0	4.0	1.0		8.0	1.0	5.0	2.0	1.0	5.0	-2.0	7.0	0.6287	0.5735	0.6099	0.4919	0.0552	0.118
ArgensolaBartolome_3	both	3.0	5.0		1.0	4.0	1.0		8.0	1.0	5.0	1.0	2.0	4.0	-1.0	5.0	0.5398	0.5529	0.4805	0.5475	-0.0131	-0.067
ArgensolaBartolome_32	both	2.0	6.0		2.0	3.0	1.0	1.0	7.0	1.0	5.0	3.0	0.0	4.0	-1.0	5.0	0.6352	0.5074	0.5624	0.464	0.1278	0.0984
ArgensolaBartolome_33	both	2.0	6.0		2.0	3.0	1.0	1.0	7.0	1.0	5.0	3.0	0.0	4.0	-1.0	5.0	0.6352	0.5074	0.5624	0.464	0.1278	0.0984
ArgensolaBartolome_34	both	2.0	5.0	1.0	2.0	4.0		1.0	7.0	1.0	5.0	1.0	0.0	3.0	-2.0	5.0	0.545	0.4768	0.5329	0.5952	0.0683	-0.0622
ArgensolaBartolome_36	both	2.0	5.0	1.0	2.0	4.0		1.0	7.0	1.0	5.0	1.0	0.0	3.0	-2.0	5.0	0.545	0.4757	0.5329	0.5938	0.0693	-0.0608
ArgensolaBartolome_39	both	2.0	4.0	2.0	1.0	4.0	1.0	2.0	6.0	1.0	5.0	0.0	1.0	3.0	-2.0	5.0	0.5792	0.6568	0.5712	0.5234	-0.0776	0.0478
ArgensolaBartolome_4	both	2.0	6.0		1.0	4.0	1.0		8.0	1.0	5.0	2.0	1.0	5.0	-2.0	7.0	0.5892	0.5307	0.5115	0.5753	0.0585	-0.0638
ArgensolaBartolome_40	both	3.0	4.0	1.0	1.0	3.0	2.0	1.0	7.0	2.0	4.0	1.0	2.0	3.0	0.0	3.0	0.531	0.6411	0.5899	0.5035	-0.1101	0.0863
ArgensolaBartolome_41	both	3.0	5.0		2.0	4.0		1.0	7.0		6.0	1.0	1.0	3.0	-1.0	4.0	0.5644	0.5486	0.5268	0.5593	0.0158	-0.0324
