sID	_m	o0	o1	o9	s0	s1	s9	oa0	oa1	sa0	sa1	oms1	oms0	oms10	oms01	o1s1mo0s0	ov	sv	oa	sa	omsv	omsa
AgustinDeSalazarYTorres_10	both	4.0	4.0		3.0	3.0			8.0		6.0	1.0	1.0	1.0	1.0	0.0	0.4537	0.4242	0.6171	0.604	0.0294	0.0131
AgustinDeSalazarYTorres_11	both	2.0	4.0	2.0	3.0	3.0		2.0	6.0		6.0	1.0	-1.0	1.0	-1.0	2.0	0.5779	0.4391	0.5144	0.6903	0.1389	-0.1759
AgustinDeSalazarYTorres_12	both	2.0	3.0	3.0	1.0	4.0	1.0	3.0	5.0	1.0	5.0	-1.0	1.0	2.0	-2.0	4.0	0.5587	0.5587	0.4806	0.5915	0.0	-0.1109
AgustinDeSalazarYTorres_13	both	3.0	4.0	1.0	2.0	3.0	1.0	1.0	7.0	1.0	5.0	1.0	1.0	2.0	0.0	2.0	0.4646	0.5657	0.5704	0.5764	-0.1011	-0.006
AgustinDeSalazarYTorres_14	both	1.0	7.0		2.0	4.0			8.0	1.0	5.0	3.0	-1.0	5.0	-3.0	8.0	0.6279	0.4911	0.5319	0.556	0.1368	-0.0241
AgustinDeSalazarYTorres_15	both	1.0	6.0	1.0	2.0	1.0	3.0	3.0	5.0	3.0	3.0	5.0	-1.0	4.0	0.0	4.0	0.6723	0.5117	0.5787	0.687	0.1606	-0.1083
AgustinDeSalazarYTorres_16	both	2.0	5.0	1.0	2.0	2.0	1.0	1.0	7.0	1.0	4.0	3.0	0.0	3.0	0.0	3.0	0.626	0.4926	0.5887	0.5746	0.1334	0.014
AgustinDeSalazarYTorres_17	both	1.0	5.0	2.0	2.0	4.0		2.0	6.0	1.0	5.0	1.0	-1.0	3.0	-3.0	6.0	0.586	0.5657	0.4882	0.5149	0.0203	-0.0267
AgustinDeSalazarYTorres_19	both	2.0	6.0		2.0	4.0		1.0	7.0		6.0	2.0	0.0	4.0	-2.0	6.0	0.6077	0.5955	0.506	0.4988	0.0122	0.0072
AgustinDeSalazarYTorres_2	both	2.0	4.0	2.0	3.0	1.0		3.0	5.0		4.0	3.0	-1.0	1.0	1.0	0.0	0.5151	0.3503	0.5892	0.6418	0.1648	-0.0526
AgustinDeSalazarYTorres_20	both	3.0	5.0		2.0	3.0	1.0		8.0	1.0	5.0	2.0	1.0	3.0	0.0	3.0	0.6234	0.5389	0.6089	0.596	0.0845	0.0129
AgustinDeSalazarYTorres_21	both	2.0	6.0		3.0	2.0	1.0	1.0	7.0	1.0	5.0	4.0	-1.0	3.0	0.0	3.0	0.5943	0.4046	0.4732	0.623	0.1897	-0.1498
AgustinDeSalazarYTorres_22	both	2.0	4.0	2.0	3.0	3.0		3.0	5.0		6.0	1.0	-1.0	1.0	-1.0	2.0	0.5962	0.6009	0.5658	0.5159	-0.0046	0.05
AgustinDeSalazarYTorres_23	both	3.0	5.0		2.0	4.0			8.0		6.0	1.0	1.0	3.0	-1.0	4.0	0.5478	0.5053	0.6268	0.6927	0.0425	-0.0659
AgustinDeSalazarYTorres_24	both	2.0	6.0		1.0	2.0	3.0	1.0	7.0	3.0	3.0	4.0	1.0	5.0	0.0	5.0	0.5527	0.6667	0.4455	0.5626	-0.114	-0.1172
AgustinDeSalazarYTorres_25	both	3.0	2.0	3.0	3.0	2.0	1.0	3.0	5.0	1.0	5.0	0.0	0.0	-1.0	1.0	-2.0	0.4306	0.2906	0.5696	0.6053	0.1399	-0.0356
AgustinDeSalazarYTorres_26	both	2.0	3.0	3.0	1.0	4.0	1.0	3.0	5.0	1.0	5.0	-1.0	1.0	2.0	-2.0	4.0	0.5198	0.6874	0.4296	0.4766	-0.1676	-0.047
AgustinDeSalazarYTorres_27	both	1.0	7.0		2.0	4.0			8.0		6.0	3.0	-1.0	5.0	-3.0	8.0	0.6904	0.5658	0.4895	0.6421	0.1246	-0.1525
AgustinDeSalazarYTorres_28	both	2.0	6.0		3.0	3.0			8.0		6.0	3.0	-1.0	3.0	-1.0	4.0	0.553	0.4873	0.5227	0.6012	0.0658	-0.0785
AgustinDeSalazarYTorres_29	both	2.0	4.0	2.0	2.0	4.0		2.0	6.0	1.0	5.0	0.0	0.0	2.0	-2.0	4.0	0.5452	0.6439	0.5248	0.4978	-0.0986	0.027
AgustinDeSalazarYTorres_3	both	5.0	2.0	1.0	2.0	2.0	2.0	1.0	7.0	2.0	4.0	0.0	3.0	0.0	3.0	-3.0	0.4864	0.4751	0.5854	0.5836	0.0114	0.0018
AgustinDeSalazarYTorres_5	both	2.0	6.0		2.0	3.0	1.0		8.0	1.0	5.0	3.0	0.0	4.0	-1.0	5.0	0.6626	0.4351	0.6062	0.6697	0.2275	-0.0635
AgustinDeSalazarYTorres_7	both	5.0	3.0		2.0	4.0			8.0	1.0	5.0	-1.0	3.0	1.0	1.0	0.0	0.4443	0.5894	0.6796	0.6109	-0.1451	0.0687
AgustinDeSalazarYTorres_8	both	5.0	3.0		4.0	2.0		1.0	7.0		6.0	1.0	1.0	-1.0	3.0	-4.0	0.4361	0.3641	0.5445	0.6773	0.072	-0.1328
AgustinDeSalazarYTorres_9	both	1.0	5.0	2.0	3.0	3.0		2.0	6.0		6.0	2.0	-2.0	2.0	-2.0	4.0	0.5486	0.4513	0.5658	0.6044	0.0973	-0.0386
AntonioEnriquezGomez_13	both	5.0	3.0		4.0	2.0			8.0		6.0	1.0	1.0	-1.0	3.0	-4.0	0.4758	0.3835	0.5612	0.7664	0.0923	-0.2052
AntonioEnriquezGomez_14	both	1.0	6.0	1.0	3.0	3.0		2.0	6.0		6.0	3.0	-2.0	3.0	-2.0	5.0	0.6193	0.4847	0.511	0.5875	0.1346	-0.0765
AntonioEnriquezGomez_15	both	2.0	5.0	1.0	1.0	5.0		2.0	6.0		6.0	0.0	1.0	4.0	-3.0	7.0	0.6247	0.6344	0.5147	0.4582	-0.0097	0.0566
AntonioEnriquezGomez_17	both	2.0	6.0		2.0	3.0	1.0		8.0	1.0	5.0	3.0	0.0	4.0	-1.0	5.0	0.6799	0.5312	0.4967	0.7484	0.1487	-0.2516
AntonioEnriquezGomez_18	both	4.0	4.0		2.0	3.0	1.0		8.0	1.0	5.0	1.0	2.0	2.0	1.0	1.0	0.4236	0.518	0.5649	0.5277	-0.0944	0.0372
AntonioEnriquezGomez_19	both	1.0	6.0	1.0	2.0	3.0	1.0	1.0	7.0	1.0	5.0	3.0	-1.0	4.0	-2.0	6.0	0.6338	0.5266	0.4921	0.5506	0.1072	-0.0585
AntonioEnriquezGomez_2	both	2.0	4.0	2.0	1.0	5.0		2.0	6.0		6.0	-1.0	1.0	3.0	-3.0	6.0	0.5775	0.6221	0.5177	0.4976	-0.0446	0.0201
AntonioEnriquezGomez_20	both	2.0	6.0		2.0	4.0			8.0		6.0	2.0	0.0	4.0	-2.0	6.0	0.6385	0.5488	0.5451	0.6761	0.0897	-0.131
AntonioEnriquezGomez_21	both	3.0	4.0	1.0	3.0	3.0		2.0	6.0		6.0	1.0	0.0	1.0	0.0	1.0	0.5092	0.3945	0.7163	0.6017	0.1148	0.1147
AntonioEnriquezGomez_23	both	1.0	6.0	1.0	3.0	3.0		1.0	7.0		6.0	3.0	-2.0	3.0	-2.0	5.0	0.6264	0.4883	0.511	0.5485	0.1381	-0.0374
AntonioEnriquezGomez_24	both	2.0	5.0	1.0	2.0	3.0	1.0	1.0	7.0	1.0	5.0	2.0	0.0	3.0	-1.0	4.0	0.5534	0.6393	0.5929	0.6758	-0.0859	-0.0829
AntonioEnriquezGomez_25	both	3.0	4.0	1.0	3.0	2.0	1.0	1.0	7.0	1.0	5.0	2.0	0.0	1.0	1.0	0.0	0.4562	0.4845	0.6513	0.5984	-0.0283	0.0529
AntonioEnriquezGomez_28	both	3.0	5.0		3.0	3.0			8.0		6.0	2.0	0.0	2.0	0.0	2.0	0.5076	0.5042	0.5218	0.578	0.0034	-0.0562
AntonioEnriquezGomez_29	both	1.0	5.0	2.0	1.0	5.0		2.0	6.0		6.0	0.0	0.0	4.0	-4.0	8.0	0.6401	0.5117	0.4641	0.5449	0.1285	-0.0809
AntonioEnriquezGomez_3	both	2.0	5.0	1.0	1.0	5.0		1.0	7.0		6.0	0.0	1.0	4.0	-3.0	7.0	0.5911	0.6673	0.4995	0.5392	-0.0762	-0.0398
AntonioEnriquezGomez_30	both	3.0	4.0	1.0	3.0	2.0		1.0	7.0	1.0	4.0	2.0	0.0	1.0	1.0	0.0	0.4597	0.4344	0.5603	0.4941	0.0253	0.0662
AntonioEnriquezGomez_31	both	3.0	5.0		2.0	4.0			8.0		6.0	1.0	1.0	3.0	-1.0	4.0	0.4852	0.4837	0.5865	0.63	0.0015	-0.0435
AntonioEnriquezGomez_34	both	4.0	4.0		2.0	4.0			8.0		6.0	0.0	2.0	2.0	0.0	2.0	0.4236	0.6169	0.7262	0.5946	-0.1933	0.1317
