SonnetID	AuthorID	Author	Gender	Date	joy_call	sadness_call	anger_call	fear_call	disgust_call
LopeDeVega_999	LopeDeVega	Lope de Vega	M	ND	0.6708860759493669	0.0	0.01282051282051283	0.013333333333333364	0.025000000000000022
LopeDeVega_9	LopeDeVega	Lope de Vega	M	ND	0.08860759493670889	0.6666666666666666	0.5641025641025641	0.4799999999999999	0.38749999999999996
LopeDeZarate_10	LopeDeZarate	Lope de Zarate	M	ND	0.822784810126582	0.14102564102564102	0.051282051282051266	0.2933333333333334	0.025000000000000022
LopeDeZarate_12	LopeDeZarate	Lope de Zarate	M	ND	0.6835443037974682	0.038461538461538436	0.038461538461538436	0.12	0.03749999999999998
LopeDeZarate_12	LopeDeZarate	Lope de Zarate	M	ND	0.6582278481012658	0.01282051282051283	0.1282051282051282	0.27999999999999997	0.025000000000000022
LopeDeZarate_14	LopeDeZarate	Lope de Zarate	M	ND	0.7594936708860758	0.07692307692307693	0.0	0.026666666666666672	0.0
LopeDeZarate_15	LopeDeZarate	Lope de Zarate	M	ND	0.7594936708860758	0.07692307692307693	0.0	0.026666666666666672	0.0
LopeDeZarate_15	LopeDeZarate	Lope de Zarate	M	ND	0.8101265822784809	0.051282051282051266	0.0	0.026666666666666672	0.03749999999999998
LopeDeZarate_16	LopeDeZarate	Lope de Zarate	M	ND	0.6253164556962025	0.16666666666666663	0.07692307692307693	0.03999999999999998	0.125
LopeDeZarate_16	LopeDeZarate	Lope de Zarate	M	ND	0.6329113924050631	0.02564102564102566	0.038461538461538436	0.09333333333333338	0.0
LopeDeZarate_16	LopeDeZarate	Lope de Zarate	M	ND	0.6329113924050631	0.02564102564102566	0.10256410256410253	0.053333333333333344	0.03749999999999998
LopeDeZarate_16	LopeDeZarate	Lope de Zarate	M	ND	0.7974683544303796	0.02564102564102566	0.07692307692307693	0.0	0.03749999999999998
LopeDeZarate_18	LopeDeZarate	Lope de Zarate	M	ND	0.03797468354430378	0.7692307692307692	0.39743589743589736	0.5866666666666667	0.32499999999999996
LopeDeZarate_18	LopeDeZarate	Lope de Zarate	M	ND	0.7848101265822782	0.0	0.01282051282051283	0.0	0.0
LopeDeZarate_19	LopeDeZarate	Lope de Zarate	M	ND	0.050632911392405056	0.6794871794871794	0.5384615384615384	0.25333333333333335	0.22249999999999998
LopeDeZarate_1	LopeDeZarate	Lope de Zarate	M	ND	0.6835443037974682	0.1282051282051282	0.0	0.013333333333333364	0.025000000000000022
LopeDeZarate_1	LopeDeZarate	Lope de Zarate	M	ND	0.6455696202531644	0.10256410256410253	0.01282051282051283	0.0	0.012500000000000011
LopeDeZarate_21	LopeDeZarate	Lope de Zarate	M	ND	0.08860759493670889	0.41025641025641024	0.3589743589743589	0.6399999999999999	0.16249999999999998
LopeDeZarate_22	LopeDeZarate	Lope de Zarate	M	ND	0.6253164556962025	0.16666666666666663	0.07692307692307693	0.03999999999999998	0.125
LopeDeZarate_23	LopeDeZarate	Lope de Zarate	M	ND	0.6835443037974682	0.1282051282051282	0.0	0.013333333333333364	0.025000000000000022
LopeDeZarate_23	LopeDeZarate	Lope de Zarate	M	ND	0.6455696202531644	0.10256410256410253	0.01282051282051283	0.0	0.012500000000000011
LopeDeZarate_25	LopeDeZarate	Lope de Zarate	M	ND	0.012658227848101278	0.5128205128205128	0.5384615384615384	0.6533333333333333	0.525
LopeDeZarate_28	LopeDeZarate	Lope de Zarate	M	ND	0.6835443037974682	0.1282051282051282	0.0	0.013333333333333364	0.025000000000000022
LopeDeZarate_30	LopeDeZarate	Lope de Zarate	M	ND	0.6835443037974682	0.1282051282051282	0.0	0.013333333333333364	0.025000000000000022
LopeDeZarate_30	LopeDeZarate	Lope de Zarate	M	ND	0.6455696202531644	0.10256410256410253	0.01282051282051283	0.0	0.012500000000000011
LopeDeZarate_35	LopeDeZarate	Lope de Zarate	M	ND	0.050632911392405056	0.6794871794871794	0.5384615384615384	0.39200000000000007	0.5125
LopeDeZarate_35	LopeDeZarate	Lope de Zarate	M	ND	0.6835443037974682	0.02564102564102566	0.10256410256410253	0.11199999999999999	0.09999999999999998
LopeDeZarate_38	LopeDeZarate	Lope de Zarate	M	ND	0.6329113924050631	0.02564102564102566	0.10256410256410253	0.053333333333333344	0.03749999999999998
LopeDeZarate_39	LopeDeZarate	Lope de Zarate	M	ND	0.6835443037974682	0.1282051282051282	0.0	0.013333333333333364	0.025000000000000022
LopeDeZarate_3	LopeDeZarate	Lope de Zarate	M	ND	0.6329113924050631	0.02564102564102566	0.10256410256410253	0.053333333333333344	0.03749999999999998
LopeDeZarate_40	LopeDeZarate	Lope de Zarate	M	ND	0.050632911392405056	0.9615384615384615	0.39743589743589736	0.8933333333333333	0.375
LopeDeZarate_41	LopeDeZarate	Lope de Zarate	M	ND	0.6329113924050631	0.02564102564102566	0.038461538461538436	0.09333333333333338	0.0
LopeDeZarate_41	LopeDeZarate	Lope de Zarate	M	ND	0.8101265822784809	0.10256410256410253	0.051282051282051266	0.08000000000000002	0.012500000000000011
LopeDeZarate_42	LopeDeZarate	Lope de Zarate	M	ND	0.6253164556962025	0.16666666666666663	0.07692307692307693	0.03999999999999998	0.125
LopeDeZarate_42	LopeDeZarate	Lope de Zarate	M	ND	0.6708860759493669	0.16153846153846152	0.038461538461538436	0.18666666666666665	0.025000000000000022
LopeDeZarate_43	LopeDeZarate	Lope de Zarate	M	ND	0.050632911392405056	0.2948717948717948	0.7692307692307692	0.4799999999999999	0.2
LopeDeZarate_43	LopeDeZarate	Lope de Zarate	M	ND	0.6329113924050631	0.02564102564102566	0.10256410256410253	0.053333333333333344	0.03749999999999998
LopeDeZarate_43	LopeDeZarate	Lope de Zarate	M	ND	0.7721518987341769	0.11538461538461536	0.07692307692307693	0.14666666666666667	0.04999999999999999
LopeDeZarate_43	LopeDeZarate	Lope de Zarate	M	ND	0.6075949367088607	0.10256410256410253	0.038461538461538436	0.026666666666666672	0.03749999999999998
LopeDeZarate_44	LopeDeZarate	Lope de Zarate	M	ND	0.7594936708860758	0.07692307692307693	0.0	0.026666666666666672	0.0
LopeDeZarate_45	LopeDeZarate	Lope de Zarate	M	ND	0.6708860759493669	0.0	0.01282051282051283	0.013333333333333364	0.025000000000000022
LopeDeZarate_45	LopeDeZarate	Lope de Zarate	M	ND	0.6531645569620252	0.0	0.051282051282051266	0.06666666666666665	0.11249999999999999
LopeDeZarate_46	LopeDeZarate	Lope de Zarate	M	ND	0.6835443037974682	0.1282051282051282	0.0	0.013333333333333364	0.025000000000000022
LopeDeZarate_46	LopeDeZarate	Lope de Zarate	M	ND	0.6455696202531644	0.10256410256410253	0.01282051282051283	0.0	0.012500000000000011
LopeDeZarate_46	LopeDeZarate	Lope de Zarate	M	ND	0.6455696202531644	0.0	0.028205128205128216	0.026666666666666672	0.05249999999999999
LopeDeZarate_46	LopeDeZarate	Lope de Zarate	M	ND	0.10126582278481011	0.8076923076923077	0.4871794871794871	0.2933333333333334	0.16249999999999998
LopeDeZarate_48	LopeDeZarate	Lope de Zarate	M	ND	0.08860759493670889	0.41025641025641024	0.3589743589743589	0.6399999999999999	0.16249999999999998
LopeDeZarate_49	LopeDeZarate	Lope de Zarate	M	ND	0.07594936708860761	0.5666666666666667	0.5564102564102563	0.6186666666666667	0.31999999999999995
LopeDeZarate_4	LopeDeZarate	Lope de Zarate	M	ND	0.6329113924050631	0.02564102564102566	0.10256410256410253	0.053333333333333344	0.03749999999999998
LopeDeZarate_50	LopeDeZarate	Lope de Zarate	M	ND	0.012658227848101278	0.5256410256410255	0.6923076923076923	0.39999999999999997	0.5625
LopeDeZarate_51	LopeDeZarate	Lope de Zarate	M	ND	0.8734177215189871	0.0	0.01282051282051283	0.03999999999999998	0.0
LopeDeZarate_52	LopeDeZarate	Lope de Zarate	M	ND	0.10126582278481011	0.8076923076923077	0.4871794871794871	0.2933333333333334	0.16249999999999998
LopeDeZarate_52	LopeDeZarate	Lope de Zarate	M	ND	0.6329113924050631	0.01282051282051283	0.051282051282051266	0.026666666666666672	0.03749999999999998
LopeDeZarate_54	LopeDeZarate	Lope de Zarate	M	ND	0.6835443037974682	0.02564102564102566	0.10256410256410253	0.11199999999999999	0.09999999999999998
LopeDeZarate_55	LopeDeZarate	Lope de Zarate	M	ND	0.6708860759493669	0.0	0.01282051282051283	0.013333333333333364	0.025000000000000022
LopeDeZarate_55	LopeDeZarate	Lope de Zarate	M	ND	0.6835443037974682	0.1282051282051282	0.0	0.013333333333333364	0.025000000000000022
LopeDeZarate_55	LopeDeZarate	Lope de Zarate	M	ND	0.6455696202531644	0.10256410256410253	0.01282051282051283	0.0	0.012500000000000011
LopeDeZarate_56	LopeDeZarate	Lope de Zarate	M	ND	0.050632911392405056	0.6615384615384615	0.49743589743589733	0.27999999999999997	0.2
LopeDeZarate_57	LopeDeZarate	Lope de Zarate	M	ND	0.6329113924050631	0.01282051282051283	0.051282051282051266	0.026666666666666672	0.03749999999999998
LopeDeZarate_57	LopeDeZarate	Lope de Zarate	M	ND	0.07594936708860761	0.6923076923076923	0.5384615384615384	0.6026666666666667	0.4125
LopeDeZarate_5	LopeDeZarate	Lope de Zarate	M	ND	0.10126582278481011	0.8076923076923077	0.4871794871794871	0.2933333333333334	0.16249999999999998
LopeDeZarate_6	LopeDeZarate	Lope de Zarate	M	ND	0.08860759493670889	0.41025641025641024	0.3589743589743589	0.6399999999999999	0.16249999999999998
LopeDeZarate_8	LopeDeZarate	Lope de Zarate	M	ND	0.6582278481012658	0.15384615384615385	0.0641025641025641	0.18666666666666665	0.03749999999999998
LopeDeZarate_9	LopeDeZarate	Lope de Zarate	M	ND	0.6708860759493669	0.0	0.01282051282051283	0.013333333333333364	0.025000000000000022
LopezDeMendoza_11	LopezDeMendoza	Lopez de Mendoza	M	ND	0.8101265822784809	0.10256410256410253	0.051282051282051266	0.08000000000000002	0.012500000000000011
LopezDeMendoza_14	LopezDeMendoza	Lopez de Mendoza	M	ND	0.012658227848101278	0.7307692307692307	0.6025641025641025	0.38666666666666666	0.3125
LopezDeMendoza_15	LopezDeMendoza	Lopez de Mendoza	M	ND	0.6708860759493669	0.0	0.01282051282051283	0.013333333333333364	0.025000000000000022
LopezDeMendoza_16	LopezDeMendoza	Lopez de Mendoza	M	ND	0.7341772151898733	0.0	0.10256410256410253	0.013333333333333364	0.0
LopezDeMendoza_17	LopezDeMendoza	Lopez de Mendoza	M	ND	0.7341772151898733	0.1282051282051282	0.02564102564102566	0.053333333333333344	0.012500000000000011
LopezDeMendoza_1	LopezDeMendoza	Lopez de Mendoza	M	ND	0.7594936708860758	0.07692307692307693	0.0	0.026666666666666672	0.0
LopezDeMendoza_22	LopezDeMendoza	Lopez de Mendoza	M	ND	0.0	0.6923076923076923	0.2564102564102564	0.52	0.275
LopezDeMendoza_24	LopezDeMendoza	Lopez de Mendoza	M	ND	0.822784810126582	0.14102564102564102	0.051282051282051266	0.2933333333333334	0.025000000000000022
LopezDeMendoza_25	LopezDeMendoza	Lopez de Mendoza	M	ND	0.6708860759493669	0.0	0.01282051282051283	0.013333333333333364	0.025000000000000022
LopezDeMendoza_26	LopezDeMendoza	Lopez de Mendoza	M	ND	0.7341772151898733	0.0	0.10256410256410253	0.013333333333333364	0.0
LopezDeMendoza_28	LopezDeMendoza	Lopez de Mendoza	M	ND	0.1594936708860759	0.28205128205128205	0.6538461538461537	0.49333333333333335	0.3375
LopezDeMendoza_29	LopezDeMendoza	Lopez de Mendoza	M	ND	0.7594936708860758	0.051282051282051266	0.01282051282051283	0.0	0.03749999999999998
LopezDeMendoza_29	LopezDeMendoza	Lopez de Mendoza	M	ND	0.6329113924050631	0.02564102564102566	0.10256410256410253	0.053333333333333344	0.03749999999999998
LopezDeMendoza_32	LopezDeMendoza	Lopez de Mendoza	M	ND	0.7594936708860758	0.01282051282051283	0.0	0.03999999999999998	0.07500000000000001
LopezDeMendoza_34	LopezDeMendoza	Lopez de Mendoza	M	ND	0.6708860759493669	0.0	0.01282051282051283	0.013333333333333364	0.025000000000000022
LopezDeMendoza_35	LopezDeMendoza	Lopez de Mendoza	M	ND	0.11392405063291139	0.5512820512820512	0.33333333333333326	0.6399999999999999	0.16249999999999998
LopezDeMendoza_37	LopezDeMendoza	Lopez de Mendoza	M	ND	0.7848101265822782	0.06666666666666665	0.1282051282051282	0.06666666666666665	0.025000000000000022
