column_name	percent_available	percent_missing
ID	100.0	0.0
SonnetID	100.0	0.0
Incipit	100.0	0.0
AuthorID	100.0	0.0
Author	100.0	0.0
Gender	100.0	0.0
Date	100.0	0.0
LineNumber	100.0	0.0
StanzaNumber	100.0	0.0
Text	100.0	0.0
Call	100.0	0.0
Echo	67.34445704664242	32.655542953357575
Set	99.9146428446149	0.08535715538510108
Corpus	100.0	0.0
CallLemma	100.0	0.0
EchoLemma	100.0	0.0
SetLemma	99.9146428446149	0.08535715538510108
call_in_vad	76.09181155946354	23.908188440536463
echo_in_vad	51.14530594109187	48.85469405890813
call_in_ei	40.473322965751905	59.526677034248095
echo_in_ei	27.202039217520436	72.79796078247956
call_wf_in_vad	1.2452790477415476	98.75472095225845
echo_wf_in_vad	0.7939384726915506	99.20606152730845
call_wf_in_ei	2.712720554704589	97.28727944529541
echo_wf_in_ei	1.7656069127603047	98.2343930872397
call_in_mls	5.054780585339614	94.94521941466039
echo_in_mls	3.3347754405247656	96.66522455947523
call_wf_in_mls	0.0	100.0
echo_wf_in_mls	0.0	100.0
anger_call	43.18604352045649	56.81395647954351
anger_echo	28.96764613028074	71.03235386971926
anticipation_call	0.0	100.0
anticipation_echo	0.0	100.0
disgust_call	43.18604352045649	56.81395647954351
disgust_echo	28.96764613028074	71.03235386971926
fear_call	43.18604352045649	56.81395647954351
fear_echo	28.96764613028074	71.03235386971926
joy_call	43.18604352045649	56.81395647954351
joy_echo	28.96764613028074	71.03235386971926
sadness_call	43.18604352045649	56.81395647954351
sadness_echo	28.96764613028074	71.03235386971926
surprise_call	0.0	100.0
surprise_echo	0.0	100.0
trust_call	0.0	100.0
trust_echo	0.0	100.0
arousal_call	77.33709060720508	22.66290939279492
arousal_echo	51.93924441378343	48.06075558621657
dominance_call	0.0	100.0
dominance_echo	0.0	100.0
valence_call	82.3918711925447	17.608128807455305
valence_echo	55.2740198543082	44.7259801456918
valence_call_b	100.0	0.0
valence_echo_b	100.0	0.0
