SonnetID	joy	sadness	anger	fear	disgust
ArgensolaBartolome_53	1	1	1	0	0
ArgensolaBartolome_55	1	0	0	0	0
ArgensolaBartolome_58	1	0	0	0	0
ArgensolaBartolome_59	1	1	0	0	0
ArgensolaBartolome_60	0	1	0	0	0
ArgensolaBartolome_61	1	0	0	0	0
ArgensolaBartolome_63	1	0	0	0	0
ArgensolaBartolome_64	0	0	0	1	0
ArgensolaBartolome_66	1	1	0	1	0
ArgensolaBartolome_69	1	1	1	0	0
ArgensolaBartolome_7	2	0	0	0	0
ArgensolaBartolome_71	1	0	0	0	0
ArgensolaBartolome_72	1	0	1	0	0
ArgensolaBartolome_73	2	0	0	0	0
ArgensolaBartolome_74	0	1	0	0	0
ArgensolaBartolome_75	1	0	0	0	0
ArgensolaBartolome_76	1	1	0	1	0
ArgensolaBartolome_77	2	0	0	0	0
ArgensolaBartolome_79	0	1	0	0	0
ArgensolaBartolome_81	1	0	0	0	0
ArgensolaBartolome_82	0	1	0	0	0
ArgensolaBartolome_83	3	0	0	0	0
ArgensolaBartolome_84	0	0	1	1	0
ArgensolaBartolome_86	0	0	1	0	0
ArgensolaBartolome_88	1	0	0	0	0
ArgensolaBartolome_9	0	2	0	1	0
ArgensolaBartolome_92	2	0	0	0	0
ArgensolaBartolome_93	0	2	0	1	0
ArgensolaBartolome_97	1	0	0	0	0
ArgensolaBartolome_98	0	1	0	0	0
ArgensolaBartolome_99	1	1	0	0	0
ArgensolaLupercio_1	0	1	0	0	0
ArgensolaLupercio_12	1	1	0	1	0
ArgensolaLupercio_13	1	0	0	0	0
ArgensolaLupercio_14	0	1	0	1	0
ArgensolaLupercio_17	1	0	0	0	0
ArgensolaLupercio_18	0	1	0	0	0
ArgensolaLupercio_19	0	1	0	0	0
ArgensolaLupercio_2	2	0	0	0	0
ArgensolaLupercio_21	0	1	0	0	0
ArgensolaLupercio_23	0	1	1	1	0
ArgensolaLupercio_25	1	0	0	0	0
ArgensolaLupercio_26	1	0	0	0	0
ArgensolaLupercio_28	1	0	0	0	0
ArgensolaLupercio_29	1	0	0	0	0
ArgensolaLupercio_3	0	0	1	0	0
ArgensolaLupercio_30	2	1	0	1	0
ArgensolaLupercio_32	1	0	0	0	0
ArgensolaLupercio_33	0	1	0	0	0
ArgensolaLupercio_34	0	1	0	0	0
ArgensolaLupercio_35	2	0	0	0	0
ArgensolaLupercio_36	0	1	0	1	0
ArgensolaLupercio_37	2	0	0	0	0
ArgensolaLupercio_38	0	0	1	0	0
ArgensolaLupercio_39	1	0	0	0	0
ArgensolaLupercio_4	1	0	0	0	0
ArgensolaLupercio_40	1	0	0	0	0
ArgensolaLupercio_44	0	1	0	1	0
ArgensolaLupercio_47	1	0	0	0	0
ArgensolaLupercio_5	1	0	0	0	0
ArgensolaLupercio_50	0	1	0	0	0
ArgensolaLupercio_53	0	0	0	1	0
ArgensolaLupercio_55	1	0	0	0	0
ArgensolaLupercio_57	0	1	0	1	0
ArgensolaLupercio_59	1	1	0	1	0
ArgensolaLupercio_60	1	1	0	1	0
ArgensolaLupercio_7	1	0	0	0	0
ArgensolaLupercio_9	1	0	0	0	0
BaltasarDeAlcazar_1	1	0	0	0	0
BaltasarDeAlcazar_11	1	0	0	0	0
BaltasarDeAlcazar_12	1	0	0	0	0
BaltasarDeAlcazar_18	0	1	0	0	0
BaltasarDeAlcazar_2	0	1	1	1	0
BaltasarDeAlcazar_3	1	0	0	0	0
BaltasarDeAlcazar_5	1	0	0	0	0
BaltasarDeAlcazar_6	0	0	1	0	0
BaltasarDeAlcazar_7	1	0	0	1	0
BernardinoDeRebolledo_1	1	0	0	0	0
BernardinoDeRebolledo_10	1	1	1	1	0
BernardinoDeRebolledo_11	1	0	0	0	0
BernardinoDeRebolledo_12	1	0	0	0	0
BernardinoDeRebolledo_15	0	1	0	0	0
BernardinoDeRebolledo_17	1	0	0	0	0
BernardinoDeRebolledo_18	1	0	0	0	0
BernardinoDeRebolledo_2	0	0	0	1	0
BernardinoDeRebolledo_20	1	0	0	0	0
BernardinoDeRebolledo_21	0	1	0	1	0
BernardinoDeRebolledo_22	0	1	0	0	0
BernardinoDeRebolledo_23	3	1	1	0	0
BernardinoDeRebolledo_24	0	1	1	0	0
BernardinoDeRebolledo_25	0	1	0	1	0
BernardinoDeRebolledo_26	0	1	0	0	0
BernardinoDeRebolledo_27	1	0	0	0	0
BernardinoDeRebolledo_28	0	1	0	0	0
BernardinoDeRebolledo_29	1	1	0	0	0
BernardinoDeRebolledo_34	1	0	0	0	0
BernardinoDeRebolledo_35	1	0	0	0	0
BernardinoDeRebolledo_37	2	0	0	0	0
BernardinoDeRebolledo_4	2	1	1	1	0
BernardinoDeRebolledo_41	1	1	0	0	0
BernardinoDeRebolledo_42	1	1	0	0	0
BernardinoDeRebolledo_46	0	0	1	1	0
BernardinoDeRebolledo_5	3	0	0	0	0
BernardinoDeRebolledo_50	1	0	0	0	0
BernardinoDeRebolledo_51	1	0	0	0	0
BernardinoDeRebolledo_53	3	0	0	0	0
BernardinoDeRebolledo_54	1	1	0	1	0
BernardinoDeRebolledo_6	2	0	0	0	0
BernardinoDeRebolledo_7	2	0	0	0	0
BernardinoDeRebolledo_9	1	0	0	0	0
BocangelYUnzueta_10	1	1	2	0	1
BocangelYUnzueta_11	1	1	0	0	0
BocangelYUnzueta_12	2	1	0	1	0
BocangelYUnzueta_13	1	0	0	0	1
BocangelYUnzueta_16	1	0	0	0	0
BocangelYUnzueta_17	2	0	0	0	0
